Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.83     0.00     3722     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_Temporary_value::_Storage::_Storage()
  0.00      0.83     0.00     3722     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_Temporary_value::_Storage::~_Storage()
  0.00      0.83     0.00     3722     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_Temporary_value::_Temporary_value<unsigned int const&>(std::vector<unsigned int, std::allocator<unsigned int> >*, unsigned int const&)
  0.00      0.83     0.00     3722     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_Temporary_value::~_Temporary_value()
  0.00      0.83     0.00     3722     0.00     0.00  unsigned int* std::__uninitialized_move_a<unsigned int*, unsigned int*, std::allocator<unsigned int> >(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      0.83     0.00     3722     0.00     0.00  void std::fill<unsigned int*, unsigned int>(unsigned int*, unsigned int*, unsigned int const&)
  0.00      0.83     0.00     3630     0.00     0.00  operator-(BigInteger, BigInteger const&)
  0.00      0.83     0.00     3622     0.00     0.00  normalize(unsigned int)
  0.00      0.83     0.00     3458     0.00     0.00  BigInteger::sub_abs(BigInteger const&, BigInteger const&)
  0.00      0.83     0.00     3276     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const
  0.00      0.83     0.00     3276     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const
  0.00      0.83     0.00     3276     0.00     0.00  std::__ptr_traits_ptr_to<char const*, char const, false>::pointer_to(char const&)
  0.00      0.83     0.00     3276     0.00     0.00  char const* std::__addressof<char const>(char const&)
  0.00      0.83     0.00     3276     0.00     0.00  char const* std::addressof<char const>(char const&)
  0.00      0.83     0.00     3274     0.00     0.00  std::__ptr_traits_ptr_to<char*, char, false>::pointer_to(char&)
  0.00      0.83     0.00     3274     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data()
  0.00      0.83     0.00     3274     0.00     0.00  char* std::__addressof<char>(char&)
  0.00      0.83     0.00     3274     0.00     0.00  char* std::addressof<char>(char&)
  0.00      0.83     0.00     3120     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_length(unsigned long)
